id,postcode,latitude,longitude,
1,AB10,1XG,57.14416516,-2.114847768
2,AB10,6RN,57.13787976,-2.121486688
3,AB10,7JB,57.12427377,-2.127189644
4,AB11,5QN,57.14270109,-2.093295
5,AB11,6UL,57.13754663,-2.112233
6,AB11,8RQ,57.13597762,-2.072114784
7,AB12,3FJ,57.0980029,-2.077438
8,AB12,4NA,57.06427275,-2.130018015
9,AB12,5GL,57.08193792,-2.246567389
10,AB12,9SP,57.14870708,-2.097806027
11,AB14,0TQ,57.10155692,-2.268485752
12,AB15,5HB,57.147428,-2.1472662
13,AB15,6NA,57.151797,-2.185398
14,AB15,8BA,57.13562422,-2.175239142
15,AB15,8UF,57.15400596,-2.22440188
16,AB15,9SE,57.11864762,-2.174250607
17,AB16,5ST,57.16346588,-2.15933343
18,AB16,6SZ,57.15875117,-2.165214861
19,AB16,7NX,57.1684384,-2.161636
20,AB21,0AL,57.26342,-2.158605
21,AB21,0TF,57.221883,-2.273318
22,AB21,7LD,57.21213578,-2.185602
23,AB21,7LE,57.21176269,-2.182487264
24,AB21,7LF,57.20342973,-2.173905553
25,AB21,7LG,57.2109551,-2.1818873
26,AB21,7LH,57.21026483,-2.180907185
27,AB21,7LJ,57.21035313,-2.181967108
28,AB21,7LL,57.21245975,-2.184957476
29,AB21,7LN,57.21032413,-2.1833741
30,AB21,7LP,57.20990264,-2.182891931
31,AB21,7LQ,57.209272,-2.183832
32,AB21,7LR,57.20890384,-2.184045758
33,AB21,7LS,57.20880379,-2.184889505
34,AB21,7LT,57.20906884,-2.181778686
35,AB21,7LU,57.20888863,-2.182158539
36,AB21,7LW,57.20477389,-2.176262271
37,AB21,7LX,57.21008563,-2.180591773
38,AB21,7LY,57.21018632,-2.179284462
39,AB21,7LZ,57.20943173,-2.179297353
40,AB21,7NA,57.20944281,-2.177824089
41,AB21,7NB,57.20886052,-2.176695622
42,AB21,7ND,57.20869801,-2.177274228
43,AB21,7NE,57.20905905,-2.176050968
44,AB21,7NF,57.20572651,-2.17595232
45,AB21,7NG,57.20437174,-2.176128
46,AB21,7NH,57.2075614,-2.174256073
47,AB21,7NJ,57.20852021,-2.175949077
48,AB21,7NP,57.20744352,-2.175050072
49,AB21,7NQ,57.20672308,-2.176337785
50,AB21,7NR,57.20738739,-2.176638915
51,AB21,7NS,57.20773663,-2.177418593
52,AB21,7NX,57.234409,-2.187884
53,AB21,7NY,57.227939,-2.170957
54,AB21,7PB,57.196572,-2.182743
55,AB21,7PE,57.24397199,-2.165530199
56,AB21,7PH,57.25003939,-2.162508131
57,AB21,7PP,57.260503,-2.176926
58,AB21,7PQ,57.25335422,-2.182030123
59,AB21,7PR,57.256957,-2.181219894
60,AB21,7PS,57.25068153,-2.191281023
61,AB21,7PU,57.251265,-2.172722
62,AB21,7PW,57.2558193,-2.172876
63,AB21,7PY,57.25559803,-2.195251339
64,AB21,7PZ,57.26069219,-2.200400651
65,AB21,7QQ,57.19981186,-2.190885191
66,AB21,7UU,57.23941856,-2.190245134
69,AB21,7XA,57.225777,-2.161656
70,AB21,7XB,57.23719184,-2.164406
74,AB21,9AB,57.189905,-2.170814
75,AB21,9AD,57.177536,-2.170923179
76,AB21,9AE,57.17852307,-2.171654686
77,AB21,9AG,57.17780848,-2.168327
78,AB21,9AH,57.17933943,-2.172452428
79,AB21,9AJ,57.1788539,-2.172780973
80,AB21,9AL,57.17953523,-2.173776602
81,AB21,9AN,57.17830289,-2.174978245
82,AB21,9AP,57.177288,-2.17461
83,AB21,9AR,57.17849405,-2.173159718
84,AB21,9AS,57.17642552,-2.174919743
85,AB21,9AT,57.17786761,-2.177887227
86,AB21,9AU,57.17827773,-2.180055966
87,AB21,9AX,57.18000625,-2.183637234
88,AB21,9AY,57.17901827,-2.183533084
89,AB21,9BB,57.17977019,-2.185339771
90,AB21,9BD,57.17927605,-2.185386916
91,AB21,9BE,57.17842416,-2.184373689
92,AB21,9BG,57.17547777,-2.157681
93,AB21,9BH,57.1766626,-2.178659
94,AB21,9BJ,57.17630577,-2.177036209
95,AB21,9BL,57.1753406,-2.179843198
96,AB21,9BN,57.17591763,-2.178357482
97,AB21,9BP,57.17632981,-2.1790872
98,AB21,9BQ,57.17600307,-2.181417643
99,AB21,9BR,57.17540996,-2.181580122
100,AB21,9BS,57.17485431,-2.180684306
101,AB21,9BT,57.17460099,-2.18192346
102,AB21,9BU,57.17372803,-2.183027222
103,AB21,9BX,57.1749244,-2.181908512
104,AB21,9BY,57.17493932,-2.183992463
105,AB21,9DA,57.17384698,-2.181539371
106,AB21,9DB,57.17357675,-2.182050726
107,AB21,9DD,57.17464349,-2.183577526
108,AB21,9DE,57.17418288,-2.185262154
109,AB21,9DF,57.17446825,-2.186669356
110,AB21,9DG,57.17655574,-2.182264
111,AB21,9DH,57.17467266,-2.188142322
112,AB21,9DJ,57.17519768,-2.185449164
113,AB21,9DL,57.17540663,-2.183862476
114,AB21,9DN,57.17579391,-2.18316976
115,AB21,9DP,57.17636344,-2.18069168
116,AB21,9DQ,57.17709329,-2.179140517
117,AB21,9DR,57.17705065,-2.177535965
119,AB21,9DT,57.1775465,-2.169764607
120,AB21,9DU,57.178677,-2.170710484
121,AB21,9DX,57.18105185,-2.174858924
122,AB21,9DY,57.18217946,-2.177874891
123,AB21,9EA,57.18220781,-2.17688251
124,AB21,9EB,57.18309423,-2.179087
125,AB21,9ED,57.18358713,-2.179734432
126,AB21,9EE,57.18391907,-2.180033815
127,AB21,9EF,57.18246934,-2.17615591
128,AB21,9EG,57.18154195,-2.176531
129,AB21,9EH,57.18357966,-2.178675671
130,AB21,9EJ,57.18310477,-2.177829716
131,AB21,9EL,57.18344098,-2.181421057
132,AB21,9EN,57.184346,-2.182848
133,AB21,9EP,57.18457661,-2.184983378
134,AB21,9EQ,57.18407483,-2.184120642
135,AB21,9ER,57.18243035,-2.184526004
137,AB21,9ET,57.181302,-2.181626
138,AB21,9EU,57.18173326,-2.182074346
139,AB21,9EW,57.18359058,-2.183555783
140,AB21,9EX,57.18073324,-2.184070918
141,AB21,9EY,57.18098381,-2.184717281
